Date,Type,Accuracy,WPM
2020-12-15,text,95,89
2020-12-15,text,95,89
2020-12-15,text,96,104
2020-12-15,text,96,99
2020-12-11,code,96,62
2020-12-11,text,96,102
2020-12-11,code,97,67
2020-12-11,text,96,87
2020-12-11,text,97,99
2020-12-11,text,97,99
2020-12-10,code,97,65
2020-12-10,code,95,58
2020-12-10,code,97,55
2020-12-10,text,97,96
2020-12-10,code,95,61
2020-12-09,code,95,62
2020-12-09,code,95,53
2020-12-09,code,95,55
2020-12-09,code,95,52
2020-12-08,text,96,89
2020-12-08,text,96,77
2020-12-08,code,94,54
2020-12-08,code,96,55
2020-12-08,code,96,49
2020-12-08,text,97,92
2020-12-08,text,96,89
2020-12-08,text,97,93
2020-12-08,text,96,90
2020-12-08,text,97,96
2020-12-08,text,96,88
2020-12-08,text,96,87
2020-12-08,code,95,53
2020-12-08,code,95,47
2020-12-08,code,95,48
2020-12-08,code,95,47
2020-12-08,code,94,41
2020-12-08,code,94,48
2020-12-08,text,96,82
2020-12-08,code,96,53
2020-12-08,code,96,61
2020-12-08,text,96,92
2020-12-08,text,97,93
2020-12-07,code,95,59
2020-12-07,code,95,60
2020-12-07,code,94,54
2020-12-07,code,95,50
2020-12-07,code,96,55
2020-12-07,text,97,92
2020-12-07,code,97,60
2020-12-07,code,95,50
2020-12-07,code,96,60
2020-12-06,code,95,62
2020-12-06,code,95,55
2020-12-06,code,95,48
2020-12-05,text,97,91
2020-12-05,code,94,55
2020-12-05,code,94,54
2020-12-05,code,97,52
2020-12-05,code,95,52
2020-12-05,code,97,47
2020-12-05,code,94,44
2020-12-05,text,96,82
2020-12-04,text,96,86
2020-12-04,text,96,86
2020-12-04,code,97,47
2020-12-04,code,95,42
2020-12-04,code,97,52
2020-12-04,code,95,50
2020-12-03,text,96,77
2020-12-03,code,95,49
2020-12-03,code,96,54
2020-12-03,code,95,45
2020-12-03,code,95,43
2020-12-03,code,95,46
2020-12-03,code,94,43
2020-12-03,code,95,42
2020-12-03,code,96,43
2020-12-03,code,95,41
2020-12-03,code,96,52
2020-12-03,code,95,47
2020-12-03,code,96,45
2020-12-03,code,94,45
2020-12-03,code,97,50
2020-12-03,code,95,50
2020-12-03,text,96,87
2020-12-03,text,97,85
2020-12-03,text,97,81
2020-12-03,code,96,46
2020-12-03,code,95,45
2020-12-03,code,95,47
2020-12-03,code,94,47
2020-12-03,code,95,47
2020-12-02,code,97,42
2020-12-02,code,96,41
2020-12-02,code,93,39
2020-12-02,code,94,39
2020-12-02,code,93,37
2020-12-02,code,93,21
2020-12-02,code,94,40
2020-12-02,code,94,37
2020-12-02,code,97,40
2020-12-02,code,94,37
2020-12-02,code,95,29
2020-12-02,code,94,31
2020-12-02,text,96,76
2020-12-02,code,95,37
2020-12-02,code,94,28
